  Iteration		V-variation
    129		  541
    130		  667
    131		  622
    132		  273
    133		  365
    134		  541
    135		  667
    136		  622
    137		  273
    138		  365
    139		  541
    140		  667
    141		  622
    142		  273
    143		  365
    144		  541
    145		  667
    146		  622
    147		  273
    148		  365
    149		  541
    150		  667
    151		  622
    152		  273
    153		  365
    154		  541
    155		  667
    156		  622
    157		  273
    158		  365
    159		  541
    160		  667
    161		  622
    162		  273
    163		  365
    164		  541
    165		  667
    166		  622
    167		  273
    168		  365
    169		  541
    170		  667
    171		  622
    172		  273
    173		  365
    174		  541
    175		  667
    176		  622
    177		  273
    178		  365
    179		  541
    180		  667
    181		  622
    182		  273
    183		  365
    184		  541
    185		  667
    186		  622
    187		  273
    188		  365
    189		  541
    190		  667
    191		  622
    192		  273
    193		  365
    194		  541
    195		  667
    196		  622
    197		  273
    198		  365
    199		  541
    200		  667
    201		  622
    202		  273
